Nombres,Apellidos,Género,Edad,Estatura,Peso,Documento,Teléfono,Correo,EPS,Status,Id_plan
Rodrigo,Lopez,masculino,19,1.59,44,1562545326,3623655555,,,pendiente,5
Jose,Spitia,masculino,33,1.81,79,1524562544,3699956555,,,pendiente,1
Hector,Rodriguez,masculino,55,1.72,55,1542654525,3998561452,,,pendiente,8
Andres,Gomez,masculino,33,1.7,53,2541563595,3200025148,,,verificar,3
Anna,Quintero,femenino,22,1.48,51,1543524652,,,,pendiente,4
Sofia,Gomez,femenino,24,1.71,56,2541565855,,,,pendiente,4
Alexandra,Rodriguez,femenino,26,1.6,55,2561542569,,,,pendiente,8
Maria,Gonzale,femenino,45,1.7,59,3565556548,,,,verificar,5
Carol,Diaz,femenino,55,1.55,51,3336541284,3654847777,,,pendiente,6
Juan,Perez,masculino,33,1.69,53,1025652625,3625698568,,,pendiente,1
Paula,Cardenas,femenino,70,1.6,66,1025945265,3361222225,,,pendiente,4
Pablo,Moreno,masculino,31,1.72,58,1256025548,,,,pendiente,6
Ramiro,Torres,masculino,22,1.72,54,1023659555,3666333230,,,pendiente,8
Laura,Lopez,femenino,22,1.72,68,1256485456,,,,pendiente,1
Luis,Mendoza,masculino,22,1.73,59,2653542654,3201478454,,,pendiente,6
Maribel,Montana,femenino,21,1.65,57,1236542569,,,,pendiente,5
Tomas,Vazques,masculino,35,1.74,62,2541236602,,,,pendiente,6
Pablo,Rojas,masculino,29,1.74,64,1025489999,,,,pendiente,4
Edwin,Rodriguez,masculino,27,1.7,63,4582158654,,,,pendiente,4
Carlos,Marston,masculino,41,1.76,59,1025666325,3200025852,,,pendiente,6
Pepe,Perez,masculino,42,1.73,64,1023666632,,,,pendiente,8
Pedro,Alvarez,masculino,23,1.76,63,1023256425,,,,pendiente,6
Andres,Diaz,masculino,24,1.74,62,1023336954,,,,pendiente,6
Sofia,Castro,femenino,24,1.7,61,5624584874,,,,pendiente,5
Natalia,Perez,femenino,33,1.68,61,6326954856,,,,pendiente,1
Rosaura,Cardenas,femenino,60,1.59,63,2365448997,,,,pendiente,1
Rosa,Leon,femenino,33,1.66,64,1023699987,3256255554,,,pendiente,3
Tatan,Rojas,masculino,24,1.74,59,2546648444,3636366666,,,pendiente,8
Elizabeth,Riuz,femenino,27,1.78,60,1124211156,3251515159,,,pendiente,7
Eduardo,Perez,masculino,25,1.73,63,1236544458,3200251058,,,pendiente,2
Elvira,Ramos,femenino,25,1.64,61,1236524595,,,,pendiente,2
Matias,Robledo,masculino,26,1.73,55,1562566958,,,,pendiente,6
Maicol,Salazar,masculino,28,1.73,63,1111588456,,,,pendiente,5
Jhon,Diaz,masculino,24,1.72,63,2036662154,,,,pendiente,8
Luis,Correa,masculino,26,1.73,65,2569589423,,,,pendiente,3
Beto,Cantor,masculino,22,1.72,64,2015000361,,,,pendiente,3
Daniel,Marin,masculino,22,1.72,63,2036941256,,,,pendiente,3
Ximena,Perez,femenino,21,1.65,65,9562635148,,,,pendiente,2
Esteban,Mejia,masculino,33,1.7,62,1236958456,,,,pendiente,2
Dora,Perez,femenino,35,1.55,61,9548516236,,,,pendiente,5
Camilo,Ruiz,masculino,33,1.72,61,2351123656,,,,pendiente,3
Eliza,Rodriguez,femenino,22,1.59,61,2569988847,,,,pendiente,2
Alberto,Flores,masculino,25,1.79,60,7854854856,,,,pendiente,2
Daniela,Perez,femenino,36,1.62,59,1205478484,,,,pendiente,1
Hernando,Arias,masculino,37,1.73,58,4856952323,,,,pendiente,3
Martha,Castillo,femenino,39,1.62,55,3251489752,,,,pendiente,3
Juan,Castañeda,masculino,22,1.7,52,9520000254,,,,pendiente,5
Sthefy,Osorio,femenino,39,1.67,62,2541023698,,,,pendiente,4
Bernardo,Garcia,masculino,44,1.75,61,1542655854,,,,pendiente,4
Vanesa,Cordoba,femenino,19,1.64,63,1477789630,3022226548,,,pendiente,3
Anduin,Mosquera,masculino,33,1.73,64,1021458963,3145487459,,,pendiente,3
Carmela,Moa,femenino,55,1.68,56,3526523652,,,,pendiente,4
Fernando,Alvarez,masculino,22,1.72,62,3698457548,,,,pendiente,5
Tania,Londoño,femenino,56,1.64,62,5485556995,,,,pendiente,4
Stuart,Almeda,masculino,33,1.72,64,5556321024,,,,pendiente,3
Lorena,Zapata,femenino,32,1.63,59,1200022225,,,,pendiente,4
Laura,Coronado,femenino,24,1.65,61,1023654895,3011165984,,,pendiente,2
Carmen,Restrepo,femenino,24,1.64,61,5412458457,,,,pendiente,5
Angie,Soto,femenino,24,1.68,58,5263256898,,,,pendiente,3
Melany,Parra,femenino,25,1.7,56,9989898521,,,,pendiente,4
Ana,Mora,femenino,26,1.64,66,1023588456,,,,pendiente,4
Laura,Camelia,femenino,28,1.68,58,5652555478,,,,pendiente,3
Dalia,Gomez,femenino,22,1.66,61,1215151514,,,,pendiente,2
Valeria,Guerrero,femenino,28,1.7,63,2145236599,,,,pendiente,5
Juana,Quevedo,femenino,29,1.69,62,3333336545,,,,pendiente,3
Mia,Torres,femenino,19,1.68,68,5265477745,,,,pendiente,3
Valentina,Gonzales,femenino,20,1.67,65,5412458745,,,,pendiente,4
Ivan,Cortes,masculino,20,1.74,65,5454845215,,,,pendiente,4
Fredy,Cardozo,masculino,23,1.72,62,5552525252,,,,pendiente,3
Oscar,Acosta,masculino,45,1.73,53,1023695685,,,,pendiente,5
Ricardo,Parra,masculino,32,1.72,62,6966658745,,,,pendiente,3
Tomas,Rodriguez,masculino,32,1.71,64,5554784568,,,,pendiente,4
Federico,Ortiz,masculino,22,1.73,63,6958477777,,,,pendiente,4
