Nombres,Apellidos,Documento,Disciplina,Id_contrato
Sebastian,Sanchez,6524587755,Gimnasia,44
Sofia,Gonzales,3652555545,Boxeo,45
Laura,Martines,3620022201,Danza,46
Rodrigo,Perez,6565698853,Halterofilia,47
Carlos,Garcia,3251456877,Mma,48
Sergio,Lopez,3201254896,Halterofilia,49
Juan,Rodriguez,5555548748,,50
Alex,Rodriguez,3659689874,Halterofilia,51
Brayan,Caicedo,1024478800,Combat,52
Lorena,Cardenas,9589521000,,53
Laura,Ordoñes,7457848965,,54
Vanesa,Londoño,1024158888,Combat,55
Esteban,Nuñes,8542515625,Danza,56
Sofia,Caicedo,1588963254,Gimnasia,57
Pedro,Cardenas,1996868767,Taekwondo,58
Carlos,Espitia,1589515951,Combat,59
Javier,Espitia,1478632017,Combat,60
Dayana,Tellez,4589632014,Karate,61
Josue,Endor,1236963210,Yudo,62
Michel,Andrade,1023103698,,63
Leo,Quintero,1478521478,,64
Yina,Gomez,2451458400,Gimnasia,65
Aldo,Gonzales,2012365955,Atletismo,66
Lina,Ramirez,1024578632,Salto De Altura,67
Nicolas,Robledo,1447895600,,68
Jose,Perez,3200147410,,69
Eduardo,Diaz,1110288763,,70
Jaime,Noippo,1023336333,Boxeo,71
Sergio,Gamboa,5562323562,Danza,72
Yeny,Torres,1055565656,Halterofilia,73
Andy,Muñoz,1021548888,,74
Andrea,Rojas,3659998774,Combat,75
Laura,Pinilla,1000099877,Gimnasia,76
Natalia,Soto,1778478952,,77
Ramiro,Gonzales,1778302020,,78
James,Rodriguez,2102477843,,79
Andres,Leon,4515262626,,80
Ana,Mora,6562588888,,81
Ivan,Moreno,1207777487,,82
Sofia,Rodriguez,1799000035,,83
Carlos,Rodriguez,1002222287,,84
Dalia,Diaz,1548547926,,85
Natalie,Espitia,2154896302,,86
Carol,Navas,1000058999,,87
Jose,Vernate,1000222239,,88
Pepe,Paez,3252000014,,89
Maria,Lopez,1843333000,,90
Juan,Oritz,1006666333,Boxeo,91
Tin,Castro,1333348022,Karate,92
Sthefy,Gomez,1999696958,,93
Luis,Quintero,1777896589,Boxeo,94
Monica,Rojas,1633257400,,95
Amaru,Caña,2154102333,,96
Juan,Ospina,2120000998,,97
Enduin,Nara,2222012013,Luchador,98
Liberto,Sierra,1222220330,Taekwondo,99
Yakelin,Novoa,1110202020,Bailarina,100
Leo,Zabaleta,1044447479,,101
Enrrique,Leon,3689996302,Pesista,102
Johana,Rojas,1111969835,Halterofilia,103
Anderson,Roa,1444441200,Atleta,104
Tatiana,Moncada,1919191254,,105
Lina,Montoya,1787873023,,106
Johan,Llanos,5847563330,,107
Alexa,Rios,2458852025,,108
Karen,Navas,1231231231,,109
Carolina,Cantor,1021021097,,110
David,Olmeda,1338885858,Combat,111
Juana,Rodriguez,6302020204,,112
Angie,Gomez,1087878547,Atleta,113
Fabian,Lozano,1616416415,Futbolista,114
Luis,Paez,1333323777,Judo,115
Rodrigo,Ruiz,2015595850,,116
Alexa,Soto,2222299900,,117
Diana,Riuz,3030302020,,118
Jhonatan,Leguizamon,1818188956,,119
Cristian,Rojas,2021010888,,120
Diana,Martinez,1110202021,,121
Margareth,Cruz,3777784710,Atletismo,122
Jhoner,Cardenas,1010005555,Halterofilia,123
Fernando,Bernate,4587458748,Calistenia,124
